"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
HumbertReincide,"ID 1509573540269408263","Thu Mar 31 16:49:13 +0000 2022"," RT @Agencia_VN: Putin: Países occidentales deberán abrir cuentas en bancos rusos y pagar gas en rublos https://t.co/RI94UQ7ERn",https://twitter.com/HumbertReincide/statuses/1509573540269408263,4,0,"Twitter Web App"
HumbertReincide,"ID 1509573512658362386","Thu Mar 31 16:49:06 +0000 2022"," RT @AciremiK: Alguien que sepa de algún servicio de internet satelital en Caracas?",https://twitter.com/HumbertReincide/statuses/1509573512658362386,4,0,"Twitter Web App"
HumbertReincide,"ID 1509573338015932418","Thu Mar 31 16:48:24 +0000 2022"," RT @europapress: Rusia impone sanciones contra los principales líderes de la UE y la mayoría de los miembros del Parlamento Europeo en resp…",https://twitter.com/HumbertReincide/statuses/1509573338015932418,14,0,"Twitter Web App"
HumbertReincide,"ID 1509573302951587842","Thu Mar 31 16:48:16 +0000 2022"," RT @RT_com: West's policies could lead to massive famine — Putin https://t.co/3gU2iIQO7I",https://twitter.com/HumbertReincide/statuses/1509573302951587842,610,0,"Twitter Web App"
HumbertReincide,"ID 1509573245606977543","Thu Mar 31 16:48:02 +0000 2022"," RT @CGMeifangZhang: Come live amid a picturesque pastel painting! Or simply B&amp;B for the time being along a cliff’s edge. Here, one can list…",https://twitter.com/HumbertReincide/statuses/1509573245606977543,63,0,"Twitter Web App"
HumbertReincide,"ID 1509573143278624769","Thu Mar 31 16:47:38 +0000 2022"," RT @Marco_Teruggi: Putin confirma que los ""países hostiles"" que quieran comprar gas ruso ""deberán abrir cuentas en rublos en bancos rusos""…",https://twitter.com/HumbertReincide/statuses/1509573143278624769,131,0,"Twitter Web App"
HumbertReincide,"ID 1509573103336177668","Thu Mar 31 16:47:29 +0000 2022"," RT @VanessaOrtizz: Putin envía un mensaje directo: ""Si estos pagos en rublos no se realizan, se considerará un impago, y nadie nos da nada…",https://twitter.com/HumbertReincide/statuses/1509573103336177668,36,0,"Twitter Web App"
HumbertReincide,"ID 1509572980648644609","Thu Mar 31 16:46:59 +0000 2022"," RT @DIARIOVEAHOY: #31Mar El Ministro Vladimir Padrino López calificó de positiva la reunión sostenida con la comisión en la que abordaron t…",https://twitter.com/HumbertReincide/statuses/1509572980648644609,3,0,"Twitter Web App"
HumbertReincide,"ID 1509572965939228675","Thu Mar 31 16:46:56 +0000 2022"," RT @Amor_y_Rabia: El nivel de manipulación de los medios de comunicación está alcanzando niveles nunca vistos: Rusia cumple su amenaza y ob…",https://twitter.com/HumbertReincide/statuses/1509572965939228675,1,0,"Twitter Web App"
HumbertReincide,"ID 1509572906040311813","Thu Mar 31 16:46:41 +0000 2022"," RT @Amor_y_Rabia: (VIDEO)
Putin firma el decreto que suspende la venta de gas a los países que no paguen en rublos https://t.co/dTB6bF92IN…",https://twitter.com/HumbertReincide/statuses/1509572906040311813,3,0,"Twitter Web App"
HumbertReincide,"ID 1509572838155595776","Thu Mar 31 16:46:25 +0000 2022"," RT @brunosgarzini: https://t.co/MgZtsutQM9",https://twitter.com/HumbertReincide/statuses/1509572838155595776,38,0,"Twitter Web App"
HumbertReincide,"ID 1509572784120344577","Thu Mar 31 16:46:12 +0000 2022"," RT @brunosgarzini: EEUU amenazó con sanciones a India si aumenta sus importaciones de petróleo ruso a través de un alto funcionario. No imp…",https://twitter.com/HumbertReincide/statuses/1509572784120344577,357,0,"Twitter Web App"
HumbertReincide,"ID 1509572736187777029","Thu Mar 31 16:46:01 +0000 2022"," RT @RedRadioVe: La segunda división de Venezuela volvió a la acción con el pitazo inicial de la Liga FUTVE 2022 en 10 partidos, llenos de e…",https://twitter.com/HumbertReincide/statuses/1509572736187777029,3,0,"Twitter Web App"
HumbertReincide,"ID 1509572641740496896","Thu Mar 31 16:45:38 +0000 2022"," RT @AlertaNews24: 🇫🇷🇩🇪🇷🇺 | URGENTE: Francia y Alemania ""se preparan"" a un corte de exportaciones rusas de gas, anuncia ministro francés.",https://twitter.com/HumbertReincide/statuses/1509572641740496896,414,0,"Twitter Web App"
HumbertReincide,"ID 1509572553106468881","Thu Mar 31 16:45:17 +0000 2022"," RT @codepink: ☮️ Possibilities for peace in Ukraine? Join CODEPINK, @masspeaceaction, @PhyllisBennis &amp; @gerson4peace next Tuesday for a dis…",https://twitter.com/HumbertReincide/statuses/1509572553106468881,6,0,"Twitter Web App"
HumbertReincide,"ID 1509572385690767365","Thu Mar 31 16:44:37 +0000 2022"," RT @RedRadioVe: La nueva estrella descubierta por el Hubble, «Earendel», pertenece a la primera generación de astros que existieron en la h…",https://twitter.com/HumbertReincide/statuses/1509572385690767365,3,0,"Twitter Web App"
HumbertReincide,"ID 1509572336789434376","Thu Mar 31 16:44:26 +0000 2022"," RT @AlpargataTech: Cuba a la UE: No le asiste derecho alguno o autoridad moral para intervenir en cuestiones del Estado  https://t.co/iYIAt…",https://twitter.com/HumbertReincide/statuses/1509572336789434376,1,0,"Twitter Web App"
HumbertReincide,"ID 1509572300668080129","Thu Mar 31 16:44:17 +0000 2022"," RT @DAVlD43: ¡Destruiremos la economía de Rusia con las sanciones nunca antes vistas, dijeron...

...los lacayos!!
🇩🇪 La inflación de Alema…",https://twitter.com/HumbertReincide/statuses/1509572300668080129,1589,0,"Twitter Web App"
HumbertReincide,"ID 1509572192740286469","Thu Mar 31 16:43:51 +0000 2022"," RT @IrinaMar10: colocaron tanques en su patio.  Su marido salió y los reprendió, le dispararon tres veces en la pierna.  El 20 de marzo, cu…",https://twitter.com/HumbertReincide/statuses/1509572192740286469,585,0,"Twitter Web App"
HumbertReincide,"ID 1509572128450002956","Thu Mar 31 16:43:36 +0000 2022"," RT @IrinaMar10: Una residente de Mariupol contó cómo los ucronazis mantuvieron atemorizada a toda la ciudad.  Cómo saquearon las tiendas, d…",https://twitter.com/HumbertReincide/statuses/1509572128450002956,1722,0,"Twitter Web App"
HumbertReincide,"ID 1509572092836073478","Thu Mar 31 16:43:28 +0000 2022"," RT @ViceVenezuela: #AsíLoDijo || Vicepdte. Sectorial del Área Económica, @TareckPSUV: Venezuela ratifica la unión de la OPEP + por la estab…",https://twitter.com/HumbertReincide/statuses/1509572092836073478,32,0,"Twitter Web App"
HumbertReincide,"ID 1509571814447620108","Thu Mar 31 16:42:21 +0000 2022"," RT @VanessaOrtizz: Putin: ""Nos compraron gas y nos pagaron en euros y luego congelaron esos fondos. Resulta que les suministramos gas grati…",https://twitter.com/HumbertReincide/statuses/1509571814447620108,83,0,"Twitter Web App"
HumbertReincide,"ID 1509571757933535237","Thu Mar 31 16:42:08 +0000 2022"," RT @spriter99880: More photos of the remains of the Mi-8 APU shot down near Mariupol https://t.co/JTwpPurMah",https://twitter.com/HumbertReincide/statuses/1509571757933535237,16,0,"Twitter Web App"
HumbertReincide,"ID 1509571715495608325","Thu Mar 31 16:41:58 +0000 2022"," RT @spriter99880: A downed board near Mariupol was identified. Mi-8MSB tail number 864 of the Poltava 18th air brigade. https://t.co/EOwXnC…",https://twitter.com/HumbertReincide/statuses/1509571715495608325,22,0,"Twitter Web App"
HumbertReincide,"ID 1509571699322376197","Thu Mar 31 16:41:54 +0000 2022"," RT @spriter99880: Mi-28N and Ka-52 of the Russian army  in the Popasnaya area. https://t.co/Y70NhyMCZU",https://twitter.com/HumbertReincide/statuses/1509571699322376197,21,0,"Twitter Web App"
HumbertReincide,"ID 1509571614442151937","Thu Mar 31 16:41:34 +0000 2022"," RT @spriter99880: The first joint expanded meeting of the cooperation groups of the Federation Council and the People's Council of Syria wa…",https://twitter.com/HumbertReincide/statuses/1509571614442151937,15,0,"Twitter Web App"
HumbertReincide,"ID 1509571474562162696","Thu Mar 31 16:41:00 +0000 2022"," RT @spriter99880: The conversation of the Chechen military with captured Ukrainian military and police. Mariupol
by the head of the Chechen…",https://twitter.com/HumbertReincide/statuses/1509571474562162696,36,0,"Twitter Web App"
HumbertReincide,"ID 1509571371612966914","Thu Mar 31 16:40:36 +0000 2022"," RT @spriter99880: Prosecutor General's office opened 3,457 criminal cases against Russian servicemen - Podolyak https://t.co/1urvMo7HJC",https://twitter.com/HumbertReincide/statuses/1509571371612966914,3,0,"Twitter Web App"
HumbertReincide,"ID 1509571326498983937","Thu Mar 31 16:40:25 +0000 2022"," RT @spriter99880: Satellite images of the results of strikes on fuel depots in Lutsk, Dubno and Klevan. https://t.co/dV2dVzjGrS",https://twitter.com/HumbertReincide/statuses/1509571326498983937,15,0,"Twitter Web App"
HumbertReincide,"ID 1509571210182635529","Thu Mar 31 16:39:57 +0000 2022"," RT @AnatolyVlasov87: 79 лет назад завершилась Ржевская битва Великой Отечественной Войны. Советские солдаты через боль и кровь приблизили В…",https://twitter.com/HumbertReincide/statuses/1509571210182635529,91,0,"Twitter Web App"
HumbertReincide,"ID 1509571190624600064","Thu Mar 31 16:39:52 +0000 2022"," RT @jeremycorbyn: Journalists who report human rights abuses and injustice - whatever the personal consequences - should be celebrated and…",https://twitter.com/HumbertReincide/statuses/1509571190624600064,1455,0,"Twitter Web App"
HumbertReincide,"ID 1509571072533929988","Thu Mar 31 16:39:24 +0000 2022"," RT @artjvrojo: 🇪🇺 En la UE el efecto es justo al revés. Un déficit comercial histórico  (importaciones &gt; exportaciones)👇 https://t.co/S9Wkj…",https://twitter.com/HumbertReincide/statuses/1509571072533929988,6,0,"Twitter Web App"
HumbertReincide,"ID 1509571043949789189","Thu Mar 31 16:39:18 +0000 2022"," RT @artjvrojo: Los controles de capital obligan a las empresas rusas a utilizar el 80% de las divisas que reciben ($/€) para comprar rublos…",https://twitter.com/HumbertReincide/statuses/1509571043949789189,3,0,"Twitter Web App"
HumbertReincide,"ID 1509570978447343632","Thu Mar 31 16:39:02 +0000 2022"," RT @artjvrojo: 🇷🇺 El superávit comercial de Rusia (exportaciones &gt; importaciones) se ha disparado gracias a las ventas de gas y petróleo (g…",https://twitter.com/HumbertReincide/statuses/1509570978447343632,43,0,"Twitter Web App"
